"id";"code";"name";"no_accents";"timezone"
1;"AC";"Acre";"Acre";"America/Rio_Branco"
2;"AL";"Alagoas";"Alagoas";"America/Maceio"
3;"AP";"Amapá";"Amapa";"America/Belem"
4;"AM";"Amazonas";"Amazonas";"(Leste) America/Manaus, (Oeste) America/Eirunepe"
5;"BA";"Bahia";"Bahia";"America/Bahia"
6;"CE";"Ceará";"Ceara";"America/Fortaleza"
7;"DF";"Distrito Federal";"Distrito Federal";"America/Sao_Paulo"
8;"ES";"Espírito Santo";"Espirito Santo";"America/Sao_Paulo"
9;"GO";"Goiás";"Goias";"America/Sao_Paulo"
10;"MA";"Maranhão";"Maranhao";"America/Fortaleza"
11;"MT";"Mato Grosso";"Mato Grosso";"America/Cuiaba"
12;"MS";"Mato Grosso do Sul";"Mato Grosso do Sul";"America/Campo_Grande"
13;"MG";"Minas Gerais";"Minas Gerais";"America/Sao_Paulo"
14;"PA";"Pará";"Para";"America/Belem"
15;"PB";"Paraíba";"Paraiba";"America/Fortaleza"
16;"PR";"Paraná";"Parana";"America/Sao_Paulo"
17;"PE";"Pernambuco";"Pernambuco";"America/Recife"
18;"PI";"Piauí";"Piaui";"America/Fortaleza"
19;"RJ";"Rio de Janeiro";"Rio de Janeiro";"America/Sao_Paulo"
20;"RN";"Rio Grande do Norte";"Rio Grande do Norte";"America/Fortaleza"
21;"RS";"Rio Grande do Sul";"Rio Grande do Sul";"America/Sao_Paulo"
22;"RO";"Rondônia";"Rondonia";"America/Porto_Velho"
23;"SC";"Santa Catarina";"Santa Catarina";"America/Sao_Paulo"
24;"SP";"São Paulo";"Sao Paulo";"America/Sao_Paulo"
25;"SE";"Sergipe";"Sergipe";"America/Maceio"
26;"TO";"Tocantins";"Tocantins";"America/Araguaina"
27;"RR";"Roraima";"Roraima";"America/Boa_Vista"
